1	10	3	3	3	3	1	2
2	20	5	5	5	5	3	5
4	40	10	10	10	10	6	10
7	70	17	24	24	17	10	15
10	100	30	30	30	30	15	20
14	140	38	52	38	52	20	25
18	180	51	69	51	69	25	30
22	220	80	80	80	80	30	40
26	260	143	117	143	117	40	50
30	390	165	195	165	195	50	60
35	420	233	268	233	233	60	80
40	480	300	340	300	340	80	100
45	585	378	423	423	378	100	125
50	650	455	505	505	455	125	150
55	650	598	598	543	543	150	175
60	720	690	630	690	630	175	200
65	780	750	750	750	750	200	240
70	840	825	895	825	895	240	280
75	975		943		1018	1018	943		280	320
80	1120	1100	1100	1100	1100	320	360
85	1190	1243	1158	1243	1158	360	400
90	1260	1255	1345	1345	1255	400	450
95	1425	1353	1448	1353	1448	450	500
100	1400	1550	1550	1450	1450	500	550
105	1470	1548	1653	1548	1653	550	600
110	1540	1755	1645	1755	1645	600	650
115	1610	1858	1743	1858	1743	650	700
120	1680	1960	1960	1840	1840	700	750
125	1875	1938	2063	1938	2063	775	850
130	2080	2035	2165	2165	2035	850	925
135	2295	2268	2133	2268	2133	925	1000
140	2240	2300	2300	2300	2300	1000	1100
145	2320	2328	2473	2328	2473	1100	1200
150	2550	2425	2575	2575	2425	1200	1300
155	2635	2523	2678	2523	2678	1300	1400
160	2720	2620	2780	2620	2780	1400	1500
165	2805	2718	2883	2718	2883	1500	1600
170	2720	2985	2815	2985	2815	1600	1700
175	2975	2913	3088	2913	3088	1700	1800
180	3240	3100	3100	3100	3100	1800	1900
185	3330	3108	3293	3108	3293	1900	2000
190	3420	3350	3550	3350	3350	2000	2100
195	3510	3403	3598	3403	3598	2100	2200
200	3800	3550	3750	3750	3550	2200	2300
205	3895	3800	3800	3800	3800	2300	2400
210	3990	3845	4055	3845	4055	2400	2500
215	3870	3993	4208	4208	3993	2500	2600
220	4180	4140	4360	4140	4360	2600	2700
225	4275	4400	4400	4400	4400	2700	2800
230	4600	4600	4600	4600	4600	2800	3000
235	4800	4800	4800	4800	4800	3000	3100
240	5000	5000	5000	5000	5000	3200	3300
245	5200	5200	5200	5200	5200	3300	3400
250	5500	5500	5500	5500	5500	3400	3500
260	6000	6000	6000	6000	6000	3500	3700
280	8000	8000	8000	8000	8000	3700	4200
300	10000	10000	10000	10000	10000	4200	4800
320	12000	12000	12000	12000	12000	4800	5500
340	14000	14000	14000	14000	14000	5500	6300
360	16000	16000	16000	16000	16000	6300	7000
380	18000	18000	18000	18000	18000	7000	7900
400	20000	20000	20000	20000	20000	7900	9000
450	40000	40000	40000	40000	40000	15800	18000
