1	10	3	3	3	3	1	1
2	20	5	5	5	5	3	5
4	40	10	10	10	10	6	10
7	70	20	20	20	20	10	15
10	100	35	35	25	25	15	20
14	140	52	38	52	38	20	25
18	180	60	60	60	60	25	30
22	220	80	80	80	80	30	40
26	260	117	143	143	117	40	50
30	390	165	195	165	195	50	60
35	420	233	285	285	233	60	80
40	480	340	300	340	300	80	100
45	585	378	423	423	378	100	125
50	600	505	455	505	455	125	150
55	715	543	598	543	598	150	175
60	780	630	690	630	690	175	200
65	780	750	750	750	750	200	240
70	840	860	860	860	860	240	280
75	900	943	1018	1018	943	280	320
80	1120	1100	1100	1100	1100	320	360
85	1190	1243	1243	1158	1158	360	400
90	1260	1255	1345	1345	1255	400	450
95	1330	1400	1400	1400	1400	450	500
100	1400	1500	1500	1500	1500	500	550
105	1470	1653	1548	1653	1548	550	600
110	1540	1700	1700	1700	1700	600	650
115	1610	1800	1800	1800	1800	650	700
120	1680	1960	1840	1960	1840	700	775
125	1750	1938	2063	2063	1938	850	925
130	2080	2100	2100	2100	2100	850	925
135	2295	2133	2268	2133	2268	925	1000
140	2240	2300	2300	2300	2300	1000	1100
145	2320	2473	2328	2473	2328	1200	1300
150	2400	2500	2500	2500	2500	1200	1300
155	2635	2523	2678	2523	2678	1300	1400
160	2560	2780	2620	2780	2620	1400	1500
165	2640	2800	2800	2800	2800	1500	1600
170	2720	2985	2815	2985	2815	1600	1700
175	2975	2913	3088	2913	3088	1700	1800
180	3240	3100	3100	3100	3100	1800	1900
185	3330	3293	3108	3293	3108	1900	2000
190	3420	3350	3350	3350	3350	2000	2100
195	3510	3403	3598	3403	3598	2100	2200
200	3600	3550	3750	3750	3550	2200	2300
205	3690	3903	3698	3903	3698	2300	2400
210	3990	3845	4055	3845	4055	2400	2500
215	3870	4208	4208	3993	3993	2500	2600
220	3960	4250	4250	4250	4250	2600	2700
225	4050	4400	4400	4400	4400	2700	2800
230	4600	4600	4600	4600	4600	2800	3200
